location,Temperature_C,Time,Year,Month,Day,id,Humidity_pct,Pressure_hPa,Wind_Speed_kmh,Wind_Direction_deg
Toronto,-2.1399999999999864,00:00:00,2013,1,1,1,80.0,1023.0,25.2,240.0
Toronto,-2.039999999999964,01:00:00,2013,1,1,2,74.0,1023.0,25.2,240.0
Toronto,-1.599999999999966,02:00:00,2013,1,1,3,,1022.0,25.2,240.0
Toronto,-1.829999999999984,03:00:00,2013,1,1,4,74.0,1022.0,32.4,240.0
Toronto,-1.7399999999999525,04:00:00,2013,1,1,5,74.0,1022.0,36.0,220.0
Toronto,-2.349999999999966,05:00:00,2013,1,1,6,79.0,1022.0,36.0,230.0
Toronto,-0.2899999999999636,06:00:00,2013,1,1,7,79.0,1013.0,18.0,257.0
Toronto,-3.519999999999982,07:00:00,2013,1,1,8,79.0,1020.0,28.8,240.0
Toronto,-4.060000000000002,08:00:00,2013,1,1,9,79.0,1019.0,21.6,240.0
Toronto,-4.289999999999964,09:00:00,2013,1,1,10,79.0,1020.0,28.8,250.0
Toronto,-4.519999999999982,10:00:00,2013,1,1,11,85.0,1019.0,28.8,260.0
Toronto,-4.21999999999997,11:00:00,2013,1,1,12,79.0,1018.0,21.6,260.0
Toronto,-4.039999999999964,12:00:00,2013,1,1,13,86.0,1017.0,21.6,250.0
Toronto,-3.7799999999999727,13:00:00,2013,1,1,14,86.0,1016.0,18.0,250.0
Toronto,-2.769999999999982,14:00:00,2013,1,1,15,86.0,1015.0,14.4,260.0
Toronto,-2.2799999999999727,15:00:00,2013,1,1,16,86.0,1015.0,21.6,250.0
Toronto,-1.329999999999984,16:00:00,2013,1,1,17,,1014.0,28.8,240.0
Toronto,-0.4899999999999522,17:00:00,2013,1,1,18,64.0,1013.0,28.8,250.0
Toronto,0.3000000000000113,18:00:00,2013,1,1,19,69.0,1012.0,25.2,250.0
Toronto,0.5100000000000477,19:00:00,2013,1,1,20,69.0,1011.0,25.2,230.0
Toronto,0.3000000000000113,20:00:00,2013,1,1,21,74.0,1010.0,32.4,230.0
Toronto,0.9600000000000364,21:00:00,2013,1,1,22,69.0,1011.0,32.4,240.0
Toronto,1.1299999999999957,22:00:00,2013,1,1,23,69.0,1011.0,32.4,250.0
Toronto,0.5300000000000296,23:00:00,2013,1,1,24,69.0,1011.0,32.4,240.0
Toronto,0.9700000000000272,00:00:00,2013,1,2,25,69.0,1011.0,32.4,250.0
Toronto,0.8500000000000227,01:00:00,2013,1,2,26,69.0,1011.0,28.8,240.0
Toronto,0.8500000000000227,02:00:00,2013,1,2,27,69.0,1011.0,28.8,270.0
Toronto,0.4900000000000091,03:00:00,2013,1,2,28,74.0,1012.0,21.6,280.0
Toronto,-0.4899999999999522,04:00:00,2013,1,2,29,64.0,1012.0,18.0,310.0
Toronto,-1.0199999999999818,05:00:00,2013,1,2,30,,1013.0,28.8,300.0
Toronto,-1.829999999999984,06:00:00,2013,1,2,31,58.0,1012.0,21.6,290.0
Toronto,-2.259999999999991,07:00:00,2013,1,2,32,54.0,1013.0,25.2,290.0
Toronto,-2.759999999999991,08:00:00,2013,1,2,33,58.0,1014.0,25.2,290.0
Toronto,-2.849999999999966,09:00:00,2013,1,2,34,54.0,1014.0,21.6,270.0
Toronto,-3.739999999999952,10:00:00,2013,1,2,35,58.0,1014.0,21.6,280.0
Toronto,-4.489999999999952,11:00:00,2013,1,2,36,68.0,1015.0,25.2,290.0
Toronto,-5.5,12:00:00,2013,1,2,37,62.0,1016.0,14.4,320.0
Toronto,-6.17999999999995,13:00:00,2013,1,2,38,58.0,1016.0,21.6,320.0
Toronto,-6.629999999999996,14:00:00,2013,1,2,39,57.0,1017.0,18.0,300.0
Toronto,-6.909999999999968,15:00:00,2013,1,2,40,53.0,1018.0,10.8,320.0
Toronto,-6.739999999999952,16:00:00,2013,1,2,41,53.0,1018.0,14.4,320.0
Toronto,-6.599999999999966,17:00:00,2013,1,2,42,57.0,1018.0,14.4,340.0
Toronto,-6.1200000000000045,18:00:00,2013,1,2,43,53.0,1017.0,14.4,310.0
Toronto,-6.389999999999986,19:00:00,2013,1,2,44,53.0,1016.0,14.4,320.0
Toronto,-6.079999999999984,20:00:00,2013,1,2,45,53.0,1017.0,10.8,350.0
Toronto,-6.079999999999984,21:00:00,2013,1,2,46,53.0,1017.0,3.6,240.0
Toronto,-6.810000000000002,22:00:00,2013,1,2,47,45.0,1017.0,18.0,280.0
Toronto,-7.449999999999989,23:00:00,2013,1,2,48,48.0,1018.0,10.8,290.0
Toronto,-7.819999999999993,00:00:00,2013,1,3,49,44.0,1018.0,10.8,290.0
Toronto,-9.299999999999956,01:00:00,2013,1,3,50,48.0,1017.0,7.2,270.0
Toronto,-7.829999999999984,02:00:00,2013,1,3,51,57.0,1017.0,18.0,280.0
Toronto,-6.060000000000002,03:00:00,2013,1,3,52,67.0,1017.0,21.6,250.0
Toronto,-6.5,04:00:00,2013,1,3,53,73.0,1017.0,18.0,270.0
Toronto,-7.21999999999997,05:00:00,2013,1,3,54,82.0,1013.0,3.6,256.0
Toronto,-6.649999999999977,06:00:00,2013,1,3,55,83.0,1013.0,14.4,258.0
Toronto,-6.079999999999984,07:00:00,2013,1,3,56,85.0,1013.0,25.2,260.0
Toronto,-6.079999999999984,08:00:00,2013,1,3,57,85.0,1013.0,25.2,260.0
Toronto,-6.079999999999984,09:00:00,2013,1,3,58,85.0,1013.0,25.2,260.0
Toronto,-6.079999999999984,10:00:00,2013,1,3,59,85.0,1013.0,25.2,260.0
Toronto,-6.079999999999984,11:00:00,2013,1,3,60,85.0,1013.0,25.2,260.0
Toronto,-6.079999999999984,12:00:00,2013,1,3,61,85.0,1013.0,25.2,260.0
Toronto,-4.919999999999959,13:00:00,2013,1,3,62,85.0,1013.0,25.2,265.0
Toronto,-5.149999999999977,14:00:00,2013,1,3,63,92.0,1022.0,18.0,242.0
Toronto,-4.21999999999997,15:00:00,2013,1,3,64,73.0,1018.0,25.2,260.0
Toronto,-3.2999999999999545,16:00:00,2013,1,3,65,68.0,1019.0,21.6,260.0
Toronto,-2.849999999999966,17:00:00,2013,1,3,66,68.0,1019.0,25.2,260.0
Toronto,-3.0299999999999727,18:00:00,2013,1,3,67,58.0,1019.0,18.0,290.0
Toronto,-3.259999999999991,19:00:00,2013,1,3,68,63.0,1019.0,18.0,300.0
Toronto,-3.1899999999999977,20:00:00,2013,1,3,69,63.0,1020.0,14.4,290.0
Toronto,-3.759999999999991,21:00:00,2013,1,3,70,63.0,1021.0,10.8,300.0
Toronto,-4.899999999999977,22:00:00,2013,1,3,71,73.0,1021.0,10.8,50.0
Toronto,-5.5499999999999545,23:00:00,2013,1,3,72,73.0,1021.0,14.4,60.0
Toronto,-6.199999999999989,00:00:00,2013,1,4,73,73.0,1022.0,18.0,70.0
Toronto,-6.329999999999984,01:00:00,2013,1,4,74,73.0,1022.0,10.8,60.0
Toronto,-6.42999999999995,02:00:00,2013,1,4,75,73.0,1023.0,7.2,60.0
Toronto,-6.42999999999995,03:00:00,2013,1,4,76,79.0,1022.0,14.4,60.0
Toronto,-6.42999999999995,04:00:00,2013,1,4,77,79.0,1023.0,7.2,50.0
Toronto,-6.699999999999989,05:00:00,2013,1,4,78,85.0,1022.0,3.6,50.0
Toronto,-7.009999999999991,06:00:00,2013,1,4,79,85.0,1022.0,7.2,0.0
Toronto,-7.409999999999968,07:00:00,2013,1,4,80,92.0,1021.0,7.2,340.0
Toronto,-7.279999999999973,08:00:00,2013,1,4,81,85.0,1022.0,14.4,10.0
Toronto,-8.099999999999966,09:00:00,2013,1,4,82,85.0,1021.0,10.8,310.0
Toronto,-8.329999999999984,10:00:00,2013,1,4,83,85.0,1021.0,7.2,340.0
Toronto,-7.649999999999977,11:00:00,2013,1,4,84,92.0,1021.0,7.2,70.0
Toronto,-8.159999999999968,12:00:00,2013,1,4,85,92.0,1020.0,10.8,70.0
Toronto,-7.759999999999991,13:00:00,2013,1,4,86,92.0,1019.0,7.2,80.0
Toronto,-7.139999999999986,14:00:00,2013,1,4,87,92.0,1019.0,7.2,70.0
Toronto,-4.789999999999964,15:00:00,2013,1,4,88,86.0,1019.0,21.6,220.0
Toronto,-4.810000000000002,16:00:00,2013,1,4,89,92.0,1018.0,21.6,230.0
Toronto,-3.539999999999964,17:00:00,2013,1,4,90,86.0,1016.0,39.6,220.0
Toronto,-2.67999999999995,18:00:00,2013,1,4,91,79.0,1015.0,32.4,240.0
Toronto,-2.409999999999968,19:00:00,2013,1,4,92,79.0,1014.0,28.8,240.0
Toronto,-2.1399999999999864,20:00:00,2013,1,4,93,68.0,1014.0,21.6,250.0
Toronto,-2.039999999999964,21:00:00,2013,1,4,94,74.0,1015.0,28.8,250.0
Toronto,-2.2099999999999795,22:00:00,2013,1,4,95,74.0,1015.0,28.8,260.0
Toronto,-2.039999999999964,23:00:00,2013,1,4,96,74.0,1016.0,25.2,250.0
Toronto,-2.5600000000000023,00:00:00,2013,1,5,97,86.0,1016.0,32.4,250.0
Toronto,-2.5600000000000023,01:00:00,2013,1,5,98,86.0,1016.0,36.0,250.0
Toronto,-2.039999999999964,02:00:00,2013,1,5,99,80.0,1016.0,32.4,260.0
Toronto,-1.6399999999999864,03:00:00,2013,1,5,100,80.0,1016.0,28.8,250.0
Toronto,-1.42999999999995,04:00:00,2013,1,5,101,80.0,1016.0,28.8,250.0
Toronto,-1.1200000000000043,05:00:00,2013,1,5,102,80.0,1016.0,28.8,240.0
Toronto,-0.7407499999999914,06:00:00,2013,1,5,103,85.0,1020.0,25.2,248.0
Toronto,-0.2409999999999854,07:00:00,2013,1,5,104,100.0,1030.0,18.0,270.0
Toronto,0.0780000000000313,08:00:00,2013,1,5,105,100.0,1031.0,18.0,272.0
Toronto,-1.4449999999999932,09:00:00,2013,1,5,106,80.0,1017.0,39.6,254.0
Toronto,-1.7399999999999525,10:00:00,2013,1,5,107,74.0,1014.0,43.2,250.0
Toronto,-1.6399999999999864,11:00:00,2013,1,5,108,74.0,1013.0,46.8,250.0
Toronto,-1.6399999999999864,12:00:00,2013,1,5,109,74.0,1013.0,43.2,245.0
Toronto,-1.6399999999999864,13:00:00,2013,1,5,110,74.0,1013.0,39.6,240.0
Toronto,-1.1999999999999886,14:00:00,2013,1,5,111,,1012.0,46.8,240.0
Toronto,-0.92999999999995,15:00:00,2013,1,5,112,,1013.0,50.4,250.0
Toronto,-0.7199999999999704,16:00:00,2013,1,5,113,,1014.0,36.0,250.0
Toronto,-0.7199999999999704,17:00:00,2013,1,5,114,,1013.0,39.6,250.0
Toronto,-0.7199999999999704,18:00:00,2013,1,5,115,,1012.0,39.6,250.0
Toronto,-0.7199999999999704,19:00:00,2013,1,5,116,,1012.0,36.0,260.0
